state_code,source,amap_code,urban,lga_code,LGA,ward_name,ward_code,global_id
EN,INEC,,0,14009,Igbo-Eze-South,Iheaka 1,ENSBBG15,abdb6311-97e9-4466-b215-ac7c7fbd1b54
EN,INEC,NIE ENS AGN,0,14012,Nkanu West,Ogonogo-Ejindiuno,ENSAGN15,abdc2911-f01c-4626-b97d-060ba264c8df
EN,INEC,,0,14002,Awgu,Ogbaku,ENSAWG06,ad2aed96-64d5-435c-a79c-28ee4d2ac913
EN,INEC,,0,14007,Igbo-Etiti,Ekwegbe 1,ENSGBO20,ae0523ad-8322-4737-acdc-35c816d69d29
EN,INEC,,0,14013,Nsukka,Akpa/Ozzi,ENSNSK14,ae6d663f-c07c-4278-9270-92b23a725f93
EN,INEC,,0,14011,Nkanu East,Obinagu/Ugbawka,ENSMGL02,b0943925-97e1-41bc-baae-f93eb0f636da
EN,INEC,,0,14001,Aninri,Nnenwe 1,ENSDBR12,b268b953-acb1-441a-96f8-22249cc0f1ca
EN,INEC,,0,14012,Nkanu West,Akegbe Ugwu 2,ENSAGN09,b31f8ee9-7845-40ef-ab99-2f4f80e2e0b2
EN,INEC,,0,14009,Igbo-Eze-South,Amebo/Hausa/Yoruba,ENSBBG08,b342bd9f-7e30-49ee-92d4-2d403700934f
EN,INEC,,0,14011,Nkanu East,Mburubu,ENSMGL07,b6bb824f-dea9-457b-a469-96e42d74d8af
EN,INEC,,0,14014,Oji-River,Achi-Uno 4,ENSJRV08,b79eae45-f0a7-4491-8345-a95faa3b4212
EN,INEC,,0,14009,Igbo-Eze-South,Echara,ENSBBG14,b77a160c-ee82-498f-b48c-8f14c2bdde0e
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Nrobo,ENSUMU05,b82d5602-2a7e-4ede-9788-26b177b72e24
EN,INEC,,0,14009,Igbo-Eze-South,Alor-Agu,ENSBBG06,b8994729-d89d-4dc3-a7c2-735d93e35b7d
EN,INEC,,0,14007,Igbo-Etiti,Ukehe 3,ENSGBO06,ba0685c3-5090-410b-9531-23a4c0f60bcd
EN,INEC,,1,14004,Enugu North,Ogbete East,ENSENU01,b9a0726f-a467-4326-93db-834e3239daa1
EN,INEC,,1,14005,Enugu South,Uwani West,ENSUWN09,c00ec75c-79ee-4a09-8751-8304b1d229ef
EN,INEC,,1,14005,Enugu South,Achara 3,ENSUWN11,bc78f0fb-0802-4292-8305-67e4607fe578
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Ugbene 1,ENSUMU11,bc791b5a-5728-4312-bd84-db756b4904a8
EN,INEC,,0,14014,Oji-River,Achi-Uno 3,ENSJRV03,bcebe547-3153-4eeb-86e4-2edbb33ed8c1
EN,INEC,,0,14002,Awgu,Awgu 2,ENSAWG03,bd5ff9ef-b52e-4c68-be5a-ea6f9cdf2149
EN,INEC,,0,14004,Enugu North,Ogbete West,ENSENU03,bd6076dd-2048-41f3-804b-130b7c9e07c0
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Adani,ENSUMU09,be7eedce-ad3f-4f6e-840c-288e89a82a19
EN,INEC,,0,14016,Udi,Eke,ENSUDD08,bf4b5491-4038-4edd-9cdf-35c0613778aa
EN,INEC,,0,14010,Isi-Uzo,Neke 1,ENSKEM09,bf61318b-a16f-48e5-8a9f-67aedaa12337
EN,INEC,,0,14003,Enugu East,Mbulujodo 1(East),ENSNKW04,c18e2eb6-b00f-467d-b65c-7c079e7ccfb8
EN,INEC,,1,14004,Enugu North,Gra East/West/ G.R.A,ENSENU09,c261a94a-871d-407e-9c92-42e065fde2db
EN,INEC,,0,14008,Igbo-Eze North,Essodo 1,ENSENZ05,c16a9d2d-0e90-4612-bd9b-490cf8ff3c8b
EN,INEC,,0,14014,Oji-River,Inyi 3,ENSJRV11,c2eba49c-3173-4258-858c-94c9a0386899
EN,INEC,,1,14004,Enugu North,Ogui New Layout,ENSENU07,c3c23ecb-b3ad-475b-9dee-2408e4b23ab6
EN,INEC,,0,14011,Nkanu East,Amechi Idodo/Orukwu,ENSMGL01,c474184a-b859-4a32-80c2-a2f1db316e4e
EN,INEC,,1,14003,Enugu East,Abakpa 1,ENSNKW09,c4cac473-fd9d-4462-bc0b-c2b902463a00
EN,INEC,,0,14008,Igbo-Eze North,Umuozzi 2,ENSENZ08,c5c7b77b-9e83-4cf5-b438-43e20ba47432
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Nimbo 1,ENSUMU08,c6c452e0-34bb-4a38-8b56-ebfdfaa6c791
EN,INEC,NIE ENS ENU,0,14004,Enugu North,Artizan,ENSENU16,c6ec1989-921a-4ce1-8174-10dfb8ee5761
EN,INEC,,0,14015,Udenu,Obollo-Eke,ENSBLF04,c7b30000-425b-44c0-a10f-859037940121
EN,INEC,,0,14006,Ezeagu,Mgbagbu Owa 2,ENSAGW15,c82abe83-fa0f-48d2-b933-ac764821fc10
EN,INEC,,0,14016,Udi,Akpakwume/Nze,ENSUDD04,c8595287-a842-4ced-8f8b-60cefbaedbb1
EN,INEC,,0,14015,Udenu,Ezimo,ENSBLF02,c88cbb7d-1f10-409d-9760-990ea462782b
EN,INEC,,0,14005,Enugu South,Obeagu,ENSUWN05,c89cacda-619f-491a-a73a-6f46c6458957
EN,INEC,NIE ENS JRV,0,14014,Oji-River,Uzondu,ENSJRV24,c98dea94-f29c-4c6c-b748-f3344dfeace1
EN,INEC,,0,14012,Nkanu West,Akpugo 3,ENSAGN11,ca0ed379-3879-42f5-a9f9-5fe302eb9198
EN,INEC,,0,14012,Nkanu West,Ozalla,ENSAGN06,cb7d1115-9c72-404f-80ba-36c0314e11bc
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Abbi,ENSUMU06,d0556cb9-4a42-4ae9-b8c7-0d48223befd8
EN,INEC,,0,14016,Udi,Ukanu/Awhum,ENSUDD17,d0cc3131-05eb-46d3-8060-2192c77b477f
EN,INEC,,0,14008,Igbo-Eze North,Ezzeodo,ENSENZ04,d1286fb2-6d14-4be6-b893-6ef4140017db
EN,INEC,,0,14008,Igbo-Eze North,Ette 3,ENSENZ17,d154f33f-2fbe-4f27-b265-f4a86db2c820
EN,INEC,,0,14006,Ezeagu,Aguobu Owa 2,ENSAGW03,d35c241b-9a56-428a-aa9d-4c1ac4835832
EN,INEC,,0,14002,Awgu,Anikenano/Ugwueme/Nkwe/Awgunta/Ezerre/Nenwenta,ENSAWG01,d44b4d23-47ff-4fca-8665-42b4b178a977
EN,INEC,,1,14005,Enugu South,Achara 1,ENSUWN04,d597286b-8373-4ab5-bcd0-920658365035
EN,INEC,,0,14011,Nkanu East,Nkerefi 2,ENSMGL04,d79ad1d2-51f3-422a-bfa0-310ace83b14e
EN,INEC,,0,14009,Igbo-Eze-South,Itchi-Uwani,ENSBBG04,d7eccc46-84f3-4b76-8a36-12dac4b6f80e
EN,INEC,,0,14011,Nkanu East,Ugbawka 2/Amafor Ugboka,ENSMGL06,d97b4a73-86ac-492e-8d0c-4c14c823c56d
